infrastructure_scenario,funding_scenario,month_seq,month_id,assets,liabilities,equity,assets_minus_liabilities_minus_equity
build_own_dc,equity_only,37,2029-10,441055214.51,0.0,441055206.44,8.07
build_own_dc,equity_only,38,2029-11,460997237.75,0.0,460997229.68,8.07
build_own_dc,equity_only,39,2029-12,480939260.99,0.0,480939252.92,8.07
build_own_dc,equity_only,40,2030-01,509624027.72,0.0,509624058.65,-30.93
build_own_dc,equity_only,41,2030-02,538308871.78,0.0,538308862.71,9.07
build_own_dc,equity_only,42,2030-03,566993675.84,0.0,566993666.77,9.07
build_own_dc,equity_only,43,2030-04,595678479.9,0.0,595678470.83,9.07
build_own_dc,equity_only,44,2030-05,624363283.96,0.0,624363274.88,9.08
build_own_dc,equity_only,45,2030-06,653048088.02,0.0,653048078.94,9.08
build_own_dc,equity_only,46,2030-07,681732892.08,0.0,681732883.0,9.08
build_own_dc,equity_only,47,2030-08,710417696.14,0.0,710417687.06,9.08
build_own_dc,equity_only,48,2030-09,739102500.2,0.0,739102491.11,9.09
build_own_dc,equity_only,49,2030-10,767787304.26,0.0,767787295.17,9.09
build_own_dc,equity_only,50,2030-11,796472108.32,0.0,796472099.23,9.09
build_own_dc,equity_only,51,2030-12,825156912.38,0.0,825156903.29,9.09
build_own_dc,mix,1,2026-10,40071184.11,40450800.0,-379615.89,-0.0
build_own_dc,mix,2,2026-11,39499978.99,60866007.95,-21366028.96,0.0
build_own_dc,mix,3,2026-12,39114120.26,81566818.45,-42452698.2,0.01
build_own_dc,mix,4,2027-01,48319837.98,112147534.32,-63827696.35,0.01
build_own_dc,mix,5,2027-02,56529612.56,146948751.34,-90419138.78,0.0
build_own_dc,mix,6,2027-03,55914942.15,177645081.06,-121730138.9,-0.01
build_own_dc,mix,7,2027-04,57889748.96,178548623.98,-119823188.26,-835686.76
build_own_dc,mix,8,2027-05,57882843.54,178380903.02,-118824959.61,-1673099.87
build_own_dc,mix,9,2027-06,58929495.41,178726375.25,-117285949.82,-2510930.02
build_own_dc,mix,10,2027-07,61886838.31,179755181.55,-114516358.79,-3351984.45
build_own_dc,mix,11,2027-08,61885626.98,178855451.24,-112776482.56,-4193341.7
build_own_dc,mix,12,2027-09,64160987.18,179328931.75,-110134245.67,-5033698.9
build_own_dc,mix,13,2027-10,64169010.27,178000532.57,-107959471.96,-5872050.34
build_own_dc,mix,14,2027-11,64194018.64,176664110.3,-105765941.98,-6704149.68
build_own_dc,mix,15,2027-12,64219337.0,175302679.65,-103553423.22,-7529919.43
build_own_dc,mix,16,2028-01,76265701.32,177284487.26,-92661640.96,-8357144.98
build_own_dc,mix,17,2028-02,76322957.39,169201738.82,-83708724.99,-9170056.44
build_own_dc,mix,18,2028-03,76475202.94,161061735.3,-74641625.59,-9944906.77
build_own_dc,mix,19,2028-04,76629414.56,152769487.22,-65458868.2,-10681204.46
build_own_dc,mix,20,2028-05,76786502.15,144323028.49,-56158295.86,-11378230.48
build_own_dc,mix,21,2028-06,81297646.32,139005966.34,-45665354.93,-12042965.09
build_own_dc,mix,22,2028-07,81632170.51,129323195.85,-35018435.49,-12672589.85
build_own_dc,mix,23,2028-08,81817123.3,119305810.76,-24232861.1,-13255826.36
build_own_dc,mix,24,2028-09,82006877.16,109103559.33,-13304971.31,-13791710.86
build_own_dc,mix,25,2028-10,82200146.69,98711554.04,-2232129.37,-14279277.98
build_own_dc,mix,26,2028-11,82397010.76,88126279.22,8988360.61,-14717629.07
build_own_dc,mix,27,2028-12,82597536.08,77344140.33,20359244.6,-15105848.85
build_own_dc,mix,28,2029-01,89044629.86,65186914.35,39298071.94,-15440356.43
build_own_dc,mix,29,2029-02,89333415.4,46582480.19,58453409.16,-15702473.95
build_own_dc,mix,30,2029-03,89685316.06,27689371.64,77872671.87,-15876727.45
build_own_dc,mix,31,2029-04,90043228.28,8444362.44,97560368.74,-15961502.9
build_own_dc,mix,32,2029-05,101461641.84,0.0,117442956.56,-15981314.72
build_own_dc,mix,33,2029-06,121403665.08,0.0,137384979.8,-15981314.72
build_own_dc,mix,34,2029-07,141345688.32,0.0,157327003.04,-15981314.72
build_own_dc,mix,35,2029-08,161287711.56,0.0,177269026.28,-15981314.72
build_own_dc,mix,36,2029-09,181229734.8,0.0,197211049.52,-15981314.72
build_own_dc,mix,37,2029-10,201171758.04,0.0,217153072.76,-15981314.72
build_own_dc,mix,38,2029-11,221113781.28,0.0,237095096.0,-15981314.72
build_own_dc,mix,39,2029-12,241055804.52,0.0,257037119.24,-15981314.72
build_own_dc,mix,40,2030-01,269740571.25,0.0,285721924.97,-15981353.72
build_own_dc,mix,41,2030-02,298425415.31,0.0,314406729.02,-15981313.71
build_own_dc,mix,42,2030-03,327110219.37,0.0,343091533.08,-15981313.71
build_own_dc,mix,43,2030-04,355795023.43,0.0,371776337.14,-15981313.71
build_own_dc,mix,44,2030-05,384479827.49,0.0,400461141.2,-15981313.71
build_own_dc,mix,45,2030-06,413164631.55,0.0,429145945.25,-15981313.7
build_own_dc,mix,46,2030-07,441849435.61,0.0,457830749.31,-15981313.7
build_own_dc,mix,47,2030-08,470534239.67,0.0,486515553.37,-15981313.7
build_own_dc,mix,48,2030-09,499219043.73,0.0,515200357.43,-15981313.7
build_own_dc,mix,49,2030-10,527903847.79,0.0,543885161.48,-15981313.69
build_own_dc,mix,50,2030-11,556588651.85,0.0,572569965.54,-15981313.69
build_own_dc,mix,51,2030-12,585273455.91,0.0,601254769.6,-15981313.69
build_own_dc,revolver_only,1,2026-10,39691568.21,80901600.0,-41210031.79,0.0
build_own_dc,revolver_only,2,2026-11,38545595.41,122111631.79,-83566036.37,-0.01
build_own_dc,revolver_only,3,2026-12,37761358.87,164467636.37,-126706277.51,0.01
build_own_dc,revolver_only,4,2027-01,46464166.6,226981829.51,-180517662.91,0.0
build_own_dc,revolver_only,5,2027-02,54030245.8,298439934.91,-244409689.11,0.0
build_own_dc,revolver_only,6,2027-03,52760034.55,362331961.11,-309571926.56,0.0
build_own_dc,revolver_only,7,2027-04,54385224.87,367293954.56,-311738573.68,-1170156.01
build_own_dc,revolver_only,8,2027-05,54307343.72,370630757.68,-313983101.97,-2340311.99
build_own_dc,revolver_only,9,2027-06,55284310.03,374897201.97,-316036903.93,-3575988.01
build_own_dc,revolver_only,10,2027-07,58160992.36,380599999.93,-317441703.57,-4997304.0
build_own_dc,revolver_only,11,2027-08,58080951.64,383426115.57,-318926543.93,-6418620.0
build_own_dc,revolver_only,12,2027-09,60281197.22,388177751.93,-319914658.71,-7981896.0
build_own_dc,revolver_only,13,2027-10,60212660.99,390729142.71,-320971309.72,-9545172.0
build_own_dc,revolver_only,14,2027-11,60164130.08,393349069.72,-322076491.64,-11108448.0
build_own_dc,revolver_only,15,2027-12,60114500.53,396017527.64,-323231303.11,-12671724.0
build_own_dc,revolver_only,16,2028-01,72065924.91,404085979.32,-317471160.76,-14548893.65
build_own_dc,revolver_only,17,2028-02,72026646.7,400203007.3,-311740477.81,-16435882.79
build_own_dc,revolver_only,18,2028-03,72099159.59,396359314.48,-305955410.92,-18304743.97
build_own_dc,revolver_only,19,2028-04,72171984.36,392443109.74,-300115726.19,-20155399.19
build_own_dc,revolver_only,20,2028-05,72246173.05,388454081.21,-294220400.68,-21987507.48
build_own_dc,revolver_only,21,2028-06,76672876.55,387677348.18,-287196037.08,-23808434.55
build_own_dc,revolver_only,22,2028-07,76921389.65,382619347.46,-280082203.29,-25615754.52
build_own_dc,revolver_only,23,2028-08,77018731.73,377312743.22,-272895422.57,-27398588.92
build_own_dc,revolver_only,24,2028-09,77119245.5,371908883.36,-265633256.53,-29156381.33
build_own_dc,revolver_only,25,2028-10,77221615.26,366404509.74,-258294313.16,-30888581.32
build_own_dc,revolver_only,26,2028-11,77325889.01,360797766.35,-250877164.48,-32594712.86
build_own_dc,revolver_only,27,2028-12,77432102.04,355086749.2,-243380356.04,-34274291.12
build_own_dc,revolver_only,28,2029-01,83783129.5,348094957.27,-228387653.96,-35924173.81
build_own_dc,revolver_only,29,2029-02,83974062.09,334752023.47,-213251831.73,-37526129.65
build_own_dc,revolver_only,30,2029-03,84226289.94,321218268.24,-197926838.61,-39065139.69
build_own_dc,revolver_only,31,2029-04,84482675.65,307432285.15,-182409556.21,-40540053.29
build_own_dc,revolver_only,32,2029-05,84743834.5,293389916.37,-166696404.66,-41949677.21
build_own_dc,revolver_only,33,2029-06,85009850.33,279086388.72,-150783741.25,-43292797.14
build_own_dc,revolver_only,34,2029-07,85280813.49,264516845.26,-134667855.47,-44568176.3
build_own_dc,revolver_only,35,2029-08,85556816.0,249676338.63,-118344967.8,-45774554.83
build_own_dc,revolver_only,36,2029-09,85837951.59,234559829.48,-101811228.45,-46910649.44
build_own_dc,revolver_only,37,2029-10,86124315.71,219162184.75,-85062716.0,-47975153.04
build_own_dc,revolver_only,38,2029-11,86416005.61,203478175.9,-68095436.13,-48966734.16
build_own_dc,revolver_only,39,2029-12,86713120.33,187502477.15,-50905320.21,-49884036.61
build_own_dc,revolver_only,40,2030-01,91990101.06,167425560.37,-24718666.39,-50716792.92
build_own_dc,revolver_only,41,2030-02,92416489.8,142071622.39,1787749.66,-51442882.25
build_own_dc,revolver_only,42,2030-03,92896365.71,116291335.66,28654072.65,-52049042.6
build_own_dc,revolver_only,43,2030-04,93384746.21,90031173.03,55886681.0,-52533107.82
build_own_dc,revolver_only,44,2030-05,93882213.43,63282629.91,83492389.78,-52892806.26
build_own_dc,revolver_only,45,2030-06,94388932.48,36036619.55,111478137.84,-53125824.91
build_own_dc,revolver_only,46,2030-07,94905075.44,8283890.16,139850993.12,-53229807.84
build_own_dc,revolver_only,47,2030-08,115228248.08,0.0,168477491.23,-53249243.15
build_own_dc,revolver_only,48,2030-09,143913052.14,0.0,197162295.29,-53249243.15
build_own_dc,revolver_only,49,2030-10,172597856.2,0.0,225847099.35,-53249243.15
build_own_dc,revolver_only,50,2030-11,201282660.26,0.0,254531903.41,-53249243.15
build_own_dc,revolver_only,51,2030-12,229967464.32,0.0,283216707.46,-53249243.14
hybrid,equity_only,1,2026-10,40450800.0,0.0,40450800.0,0.0
hybrid,equity_only,2,2026-11,40450800.0,0.0,40450800.0,0.0
hybrid,equity_only,3,2026-12,40450800.0,0.0,40450800.0,0.0
hybrid,equity_only,4,2027-01,50137776.0,0.0,50137776.0,0.0
hybrid,equity_only,5,2027-02,58961136.0,0.0,58961136.0,0.0
hybrid,equity_only,6,2027-03,58961136.0,0.0,58961136.0,0.0
hybrid,equity_only,7,2027-04,62471604.0,0.0,62471604.0,0.0
hybrid,equity_only,8,2027-05,65982072.0,0.0,65982072.0,0.0
hybrid,equity_only,9,2027-06,69689100.0,0.0,69689100.0,0.0
hybrid,equity_only,10,2027-07,73953048.0,0.0,73953048.0,0.0
hybrid,equity_only,11,2027-08,78216996.0,0.0,78216996.0,0.0
hybrid,equity_only,12,2027-09,82906824.0,0.0,82906824.0,0.0
hybrid,equity_only,13,2027-10,87596652.0,0.0,87596652.0,0.0
hybrid,equity_only,14,2027-11,92286480.0,0.0,92286480.0,0.0
hybrid,equity_only,15,2027-12,96976308.0,0.0,96976308.0,0.0
hybrid,equity_only,16,2028-01,108367958.12,0.0,108367958.41,-0.29
hybrid,equity_only,17,2028-02,119759608.54,0.0,119759608.83,-0.29
hybrid,equity_only,18,2028-03,131151258.96,0.0,131151259.24,-0.28
hybrid,equity_only,19,2028-04,142542909.38,0.0,142542909.66,-0.28
hybrid,equity_only,20,2028-05,153934559.8,0.0,153934560.07,-0.27
hybrid,equity_only,21,2028-06,166421704.62,0.0,166421704.89,-0.27
hybrid,equity_only,22,2028-07,178957169.89,0.0,178957252.27,-82.38
hybrid,equity_only,23,2028-08,191492799.65,0.0,191492795.56,4.09
hybrid,equity_only,24,2028-09,204028342.95,0.0,204028338.86,4.09
hybrid,equity_only,25,2028-10,216563886.25,0.0,216563882.16,4.09
hybrid,equity_only,26,2028-11,229099429.55,0.0,229099425.46,4.09
hybrid,equity_only,27,2028-12,241634972.85,0.0,241634968.75,4.1
hybrid,equity_only,28,2029-01,261576894.19,0.0,261576997.28,-103.09
hybrid,equity_only,29,2029-02,281519028.59,0.0,281519020.52,8.07
hybrid,equity_only,30,2029-03,301461051.83,0.0,301461043.76,8.07
hybrid,equity_only,31,2029-04,321403075.07,0.0,321403067.0,8.07
hybrid,equity_only,32,2029-05,341345098.31,0.0,341345090.24,8.07
hybrid,equity_only,33,2029-06,361287121.55,0.0,361287113.48,8.07
hybrid,equity_only,34,2029-07,381229144.79,0.0,381229136.72,8.07
hybrid,equity_only,35,2029-08,401171168.03,0.0,401171159.96,8.07
hybrid,equity_only,36,2029-09,421113191.27,0.0,421113183.2,8.07
hybrid,equity_only,37,2029-10,441055214.51,0.0,441055206.44,8.07
hybrid,equity_only,38,2029-11,460997237.75,0.0,460997229.68,8.07
hybrid,equity_only,39,2029-12,480939260.99,0.0,480939252.92,8.07
hybrid,equity_only,40,2030-01,509624027.72,0.0,509624058.65,-30.93
hybrid,equity_only,41,2030-02,538308871.78,0.0,538308862.71,9.07
hybrid,equity_only,42,2030-03,566993675.84,0.0,566993666.77,9.07
hybrid,equity_only,43,2030-04,595678479.9,0.0,595678470.83,9.07
hybrid,equity_only,44,2030-05,624363283.96,0.0,624363274.88,9.08
hybrid,equity_only,45,2030-06,653048088.02,0.0,653048078.94,9.08
hybrid,equity_only,46,2030-07,681732892.08,0.0,681732883.0,9.08
hybrid,equity_only,47,2030-08,710417696.14,0.0,710417687.06,9.08
hybrid,equity_only,48,2030-09,739102500.2,0.0,739102491.11,9.09
hybrid,equity_only,49,2030-10,767787304.26,0.0,767787295.17,9.09
hybrid,equity_only,50,2030-11,796472108.32,0.0,796472099.23,9.09
hybrid,equity_only,51,2030-12,825156912.38,0.0,825156903.29,9.09
hybrid,mix,1,2026-10,40071184.11,40450800.0,-379615.89,-0.0
hybrid,mix,2,2026-11,39499978.99,60866007.95,-21366028.96,0.0
hybrid,mix,3,2026-12,39114120.26,81566818.45,-42452698.2,0.01
hybrid,mix,4,2027-01,48319837.98,112147534.32,-63827696.35,0.01
hybrid,mix,5,2027-02,56529612.56,146948751.34,-90419138.78,0.0
hybrid,mix,6,2027-03,55914942.15,177645081.06,-121730138.9,-0.01
hybrid,mix,7,2027-04,57889748.96,178548623.98,-119823188.26,-835686.76
hybrid,mix,8,2027-05,57882843.54,178380903.02,-118824959.61,-1673099.87
hybrid,mix,9,2027-06,58929495.41,178726375.25,-117285949.82,-2510930.02
hybrid,mix,10,2027-07,61886838.31,179755181.55,-114516358.79,-3351984.45
hybrid,mix,11,2027-08,61885626.98,178855451.24,-112776482.56,-4193341.7
hybrid,mix,12,2027-09,64160987.18,179328931.75,-110134245.67,-5033698.9
hybrid,mix,13,2027-10,64169010.27,178000532.57,-107959471.96,-5872050.34
hybrid,mix,14,2027-11,64194018.64,176664110.3,-105765941.98,-6704149.68
hybrid,mix,15,2027-12,64219337.0,175302679.65,-103553423.22,-7529919.43
hybrid,mix,16,2028-01,76265701.32,177284487.26,-92661640.96,-8357144.98
hybrid,mix,17,2028-02,76322957.39,169201738.82,-83708724.99,-9170056.44
hybrid,mix,18,2028-03,76475202.94,161061735.3,-74641625.59,-9944906.77
hybrid,mix,19,2028-04,76629414.56,152769487.22,-65458868.2,-10681204.46
hybrid,mix,20,2028-05,76786502.15,144323028.49,-56158295.86,-11378230.48
hybrid,mix,21,2028-06,81297646.32,139005966.34,-45665354.93,-12042965.09
hybrid,mix,22,2028-07,81632170.51,129323195.85,-35018435.49,-12672589.85
hybrid,mix,23,2028-08,81817123.3,119305810.76,-24232861.1,-13255826.36
hybrid,mix,24,2028-09,82006877.16,109103559.33,-13304971.31,-13791710.86
hybrid,mix,25,2028-10,82200146.69,98711554.04,-2232129.37,-14279277.98
hybrid,mix,26,2028-11,82397010.76,88126279.22,8988360.61,-14717629.07
hybrid,mix,27,2028-12,82597536.08,77344140.33,20359244.6,-15105848.85
hybrid,mix,28,2029-01,89044629.86,65186914.35,39298071.94,-15440356.43
hybrid,mix,29,2029-02,89333415.4,46582480.19,58453409.16,-15702473.95
hybrid,mix,30,2029-03,89685316.06,27689371.64,77872671.87,-15876727.45
hybrid,mix,31,2029-04,90043228.28,8444362.44,97560368.74,-15961502.9
hybrid,mix,32,2029-05,101461641.84,0.0,117442956.56,-15981314.72
hybrid,mix,33,2029-06,121403665.08,0.0,137384979.8,-15981314.72
hybrid,mix,34,2029-07,141345688.32,0.0,157327003.04,-15981314.72
hybrid,mix,35,2029-08,161287711.56,0.0,177269026.28,-15981314.72
hybrid,mix,36,2029-09,181229734.8,0.0,197211049.52,-15981314.72
hybrid,mix,37,2029-10,201171758.04,0.0,217153072.76,-15981314.72
hybrid,mix,38,2029-11,221113781.28,0.0,237095096.0,-15981314.72
hybrid,mix,39,2029-12,241055804.52,0.0,257037119.24,-15981314.72
hybrid,mix,40,2030-01,269740571.25,0.0,285721924.97,-15981353.72
hybrid,mix,41,2030-02,298425415.31,0.0,314406729.02,-15981313.71
hybrid,mix,42,2030-03,327110219.37,0.0,343091533.08,-15981313.71
hybrid,mix,43,2030-04,355795023.43,0.0,371776337.14,-15981313.71
hybrid,mix,44,2030-05,384479827.49,0.0,400461141.2,-15981313.71
hybrid,mix,45,2030-06,413164631.55,0.0,429145945.25,-15981313.7
hybrid,mix,46,2030-07,441849435.61,0.0,457830749.31,-15981313.7
hybrid,mix,47,2030-08,470534239.67,0.0,486515553.37,-15981313.7
hybrid,mix,48,2030-09,499219043.73,0.0,515200357.43,-15981313.7
hybrid,mix,49,2030-10,527903847.79,0.0,543885161.48,-15981313.69
hybrid,mix,50,2030-11,556588651.85,0.0,572569965.54,-15981313.69
hybrid,mix,51,2030-12,585273455.91,0.0,601254769.6,-15981313.69
hybrid,revolver_only,1,2026-10,39691568.21,80901600.0,-41210031.79,0.0
hybrid,revolver_only,2,2026-11,38545595.41,122111631.79,-83566036.37,-0.01
hybrid,revolver_only,3,2026-12,37761358.87,164467636.37,-126706277.51,0.01
hybrid,revolver_only,4,2027-01,46464166.6,226981829.51,-180517662.91,0.0
hybrid,revolver_only,5,2027-02,54030245.8,298439934.91,-244409689.11,0.0
hybrid,revolver_only,6,2027-03,52760034.55,362331961.11,-309571926.56,0.0
hybrid,revolver_only,7,2027-04,54385224.87,367293954.56,-311738573.68,-1170156.01
hybrid,revolver_only,8,2027-05,54307343.72,370630757.68,-313983101.97,-2340311.99
hybrid,revolver_only,9,2027-06,55284310.03,374897201.97,-316036903.93,-3575988.01
hybrid,revolver_only,10,2027-07,58160992.36,380599999.93,-317441703.57,-4997304.0
hybrid,revolver_only,11,2027-08,58080951.64,383426115.57,-318926543.93,-6418620.0
hybrid,revolver_only,12,2027-09,60281197.22,388177751.93,-319914658.71,-7981896.0
hybrid,revolver_only,13,2027-10,60212660.99,390729142.71,-320971309.72,-9545172.0
hybrid,revolver_only,14,2027-11,60164130.08,393349069.72,-322076491.64,-11108448.0
hybrid,revolver_only,15,2027-12,60114500.53,396017527.64,-323231303.11,-12671724.0
hybrid,revolver_only,16,2028-01,72065924.91,404085979.32,-317471160.76,-14548893.65
hybrid,revolver_only,17,2028-02,72026646.7,400203007.3,-311740477.81,-16435882.79
hybrid,revolver_only,18,2028-03,72099159.59,396359314.48,-305955410.92,-18304743.97
hybrid,revolver_only,19,2028-04,72171984.36,392443109.74,-300115726.19,-20155399.19
hybrid,revolver_only,20,2028-05,72246173.05,388454081.21,-294220400.68,-21987507.48
hybrid,revolver_only,21,2028-06,76672876.55,387677348.18,-287196037.08,-23808434.55
hybrid,revolver_only,22,2028-07,76921389.65,382619347.46,-280082203.29,-25615754.52
hybrid,revolver_only,23,2028-08,77018731.73,377312743.22,-272895422.57,-27398588.92
hybrid,revolver_only,24,2028-09,77119245.5,371908883.36,-265633256.53,-29156381.33
hybrid,revolver_only,25,2028-10,77221615.26,366404509.74,-258294313.16,-30888581.32
hybrid,revolver_only,26,2028-11,77325889.01,360797766.35,-250877164.48,-32594712.86
hybrid,revolver_only,27,2028-12,77432102.04,355086749.2,-243380356.04,-34274291.12
hybrid,revolver_only,28,2029-01,83783129.5,348094957.27,-228387653.96,-35924173.81
hybrid,revolver_only,29,2029-02,83974062.09,334752023.47,-213251831.73,-37526129.65
hybrid,revolver_only,30,2029-03,84226289.94,321218268.24,-197926838.61,-39065139.69
hybrid,revolver_only,31,2029-04,84482675.65,307432285.15,-182409556.21,-40540053.29
hybrid,revolver_only,32,2029-05,84743834.5,293389916.37,-166696404.66,-41949677.21
hybrid,revolver_only,33,2029-06,85009850.33,279086388.72,-150783741.25,-43292797.14
hybrid,revolver_only,34,2029-07,85280813.49,264516845.26,-134667855.47,-44568176.3
hybrid,revolver_only,35,2029-08,85556816.0,249676338.63,-118344967.8,-45774554.83
hybrid,revolver_only,36,2029-09,85837951.59,234559829.48,-101811228.45,-46910649.44
hybrid,revolver_only,37,2029-10,86124315.71,219162184.75,-85062716.0,-47975153.04
hybrid,revolver_only,38,2029-11,86416005.61,203478175.9,-68095436.13,-48966734.16
hybrid,revolver_only,39,2029-12,86713120.33,187502477.15,-50905320.21,-49884036.61
hybrid,revolver_only,40,2030-01,91990101.06,167425560.37,-24718666.39,-50716792.92
hybrid,revolver_only,41,2030-02,92416489.8,142071622.39,1787749.66,-51442882.25
hybrid,revolver_only,42,2030-03,92896365.71,116291335.66,28654072.65,-52049042.6
hybrid,revolver_only,43,2030-04,93384746.21,90031173.03,55886681.0,-52533107.82
hybrid,revolver_only,44,2030-05,93882213.43,63282629.91,83492389.78,-52892806.26
hybrid,revolver_only,45,2030-06,94388932.48,36036619.55,111478137.84,-53125824.91
hybrid,revolver_only,46,2030-07,94905075.44,8283890.16,139850993.12,-53229807.84
hybrid,revolver_only,47,2030-08,115228248.08,0.0,168477491.23,-53249243.15
hybrid,revolver_only,48,2030-09,143913052.14,0.0,197162295.29,-53249243.15
hybrid,revolver_only,49,2030-10,172597856.2,0.0,225847099.35,-53249243.15
hybrid,revolver_only,50,2030-11,201282660.26,0.0,254531903.41,-53249243.15
hybrid,revolver_only,51,2030-12,229967464.32,0.0,283216707.46,-53249243.14
rent_gpu_only,equity_only,1,2026-10,40450800.0,0.0,40450800.0,0.0
rent_gpu_only,equity_only,2,2026-11,40450800.0,0.0,40450800.0,0.0
rent_gpu_only,equity_only,3,2026-12,40450800.0,0.0,40450800.0,0.0
rent_gpu_only,equity_only,4,2027-01,50137776.0,0.0,50137776.0,0.0
rent_gpu_only,equity_only,5,2027-02,58961136.0,0.0,58961136.0,0.0
rent_gpu_only,equity_only,6,2027-03,58961136.0,0.0,58961136.0,0.0
rent_gpu_only,equity_only,7,2027-04,62471604.0,0.0,62471604.0,0.0
rent_gpu_only,equity_only,8,2027-05,65982072.0,0.0,65982072.0,0.0
rent_gpu_only,equity_only,9,2027-06,69689100.0,0.0,69689100.0,0.0
rent_gpu_only,equity_only,10,2027-07,73953048.0,0.0,73953048.0,0.0
rent_gpu_only,equity_only,11,2027-08,78216996.0,0.0,78216996.0,0.0
rent_gpu_only,equity_only,12,2027-09,82906824.0,0.0,82906824.0,0.0
rent_gpu_only,equity_only,13,2027-10,87596652.0,0.0,87596652.0,0.0
rent_gpu_only,equity_only,14,2027-11,92286480.0,0.0,92286480.0,0.0
rent_gpu_only,equity_only,15,2027-12,96976308.0,0.0,96976308.0,0.0
rent_gpu_only,equity_only,16,2028-01,108367958.4,0.0,108367958.4,0.0
rent_gpu_only,equity_only,17,2028-02,119759608.8,0.0,119759608.8,0.0
rent_gpu_only,equity_only,18,2028-03,131151259.2,0.0,131151259.2,0.0
rent_gpu_only,equity_only,19,2028-04,142542909.6,0.0,142542909.6,0.0
rent_gpu_only,equity_only,20,2028-05,153934560.0,0.0,153934560.0,0.0
rent_gpu_only,equity_only,21,2028-06,166421704.8,0.0,166421704.8,0.0
rent_gpu_only,equity_only,22,2028-07,178908849.6,0.0,178908849.6,0.0
rent_gpu_only,equity_only,23,2028-08,191395994.4,0.0,191395994.4,0.0
rent_gpu_only,equity_only,24,2028-09,203883139.2,0.0,203883139.2,0.0
rent_gpu_only,equity_only,25,2028-10,216370284.0,0.0,216370284.0,0.0
rent_gpu_only,equity_only,26,2028-11,228857428.8,0.0,228857428.8,0.0
rent_gpu_only,equity_only,27,2028-12,241344573.6,0.0,241344573.6,0.0
rent_gpu_only,equity_only,28,2029-01,261161591.81,0.0,261161591.81,0.0
rent_gpu_only,equity_only,29,2029-02,280978610.02,0.0,280978610.03,-0.01
rent_gpu_only,equity_only,30,2029-03,300795628.23,0.0,300795628.24,-0.01
rent_gpu_only,equity_only,31,2029-04,320612646.44,0.0,320612646.45,-0.01
rent_gpu_only,equity_only,32,2029-05,340429664.65,0.0,340429664.66,-0.01
rent_gpu_only,equity_only,33,2029-06,360246682.86,0.0,360246682.88,-0.02
