scenario,month_seq,month_id,year,month,construction_start_month_key,construction_end_month_key,owned_gpu_available_month_key,construction_start_flag,construction_active_flag,construction_completed_flag,required_gpu,owned_gpu,rented_gpu,owned_gpu_increment,gpu_capex,gpu_infra_capex,datacenter_construction_capex
rent_gpu_only,13,2027-10,2027,10,2028-01,2028-06,2028-07,0,0,0,91.300283,0.0,91.300283,0.0,0.0,0.0,0.0
hybrid,13,2027-10,2027,10,2028-01,2028-06,2028-07,0,0,0,91.300283,0.0,91.300283,0.0,0.0,0.0,0
build_own_dc,14,2027-11,2027,11,2028-01,2028-06,2028-07,0,0,0,91.300283,0.0,91.300283,0.0,0.0,0.0,0
rent_gpu_only,14,2027-11,2027,11,2028-01,2028-06,2028-07,0,0,0,91.300283,0.0,91.300283,0.0,0.0,0.0,0.0
hybrid,14,2027-11,2027,11,2028-01,2028-06,2028-07,0,0,0,91.300283,0.0,91.300283,0.0,0.0,0.0,0
build_own_dc,15,2027-12,2027,12,2028-01,2028-06,2028-07,0,0,0,91.300283,0.0,91.300283,0.0,0.0,0.0,0
rent_gpu_only,15,2027-12,2027,12,2028-01,2028-06,2028-07,0,0,0,91.300283,0.0,91.300283,0.0,0.0,0.0,0.0
hybrid,15,2027-12,2027,12,2028-01,2028-06,2028-07,0,0,0,91.300283,0.0,91.300283,0.0,0.0,0.0,0
build_own_dc,16,2028-01,2028,1,2028-01,2028-06,2028-07,1,1,0,235.968842,0.0,235.968842,0.0,0.0,0.0,1
rent_gpu_only,16,2028-01,2028,1,2028-01,2028-06,2028-07,1,1,0,235.968842,0.0,235.968842,0.0,0.0,0.0,0.0
hybrid,16,2028-01,2028,1,2028-01,2028-06,2028-07,1,1,0,235.968842,0.0,235.968842,0.0,0.0,0.0,1
build_own_dc,17,2028-02,2028,2,2028-01,2028-06,2028-07,0,1,0,235.968842,0.0,235.968842,0.0,0.0,0.0,1
rent_gpu_only,17,2028-02,2028,2,2028-01,2028-06,2028-07,0,1,0,235.968842,0.0,235.968842,0.0,0.0,0.0,0.0
hybrid,17,2028-02,2028,2,2028-01,2028-06,2028-07,0,1,0,235.968842,0.0,235.968842,0.0,0.0,0.0,1
build_own_dc,18,2028-03,2028,3,2028-01,2028-06,2028-07,0,1,0,235.968842,0.0,235.968842,0.0,0.0,0.0,1
rent_gpu_only,18,2028-03,2028,3,2028-01,2028-06,2028-07,0,1,0,235.968842,0.0,235.968842,0.0,0.0,0.0,0.0
hybrid,18,2028-03,2028,3,2028-01,2028-06,2028-07,0,1,0,235.968842,0.0,235.968842,0.0,0.0,0.0,1
build_own_dc,19,2028-04,2028,4,2028-01,2028-06,2028-07,0,1,0,235.968842,0.0,235.968842,0.0,0.0,0.0,1
rent_gpu_only,19,2028-04,2028,4,2028-01,2028-06,2028-07,0,1,0,235.968842,0.0,235.968842,0.0,0.0,0.0,0.0
hybrid,19,2028-04,2028,4,2028-01,2028-06,2028-07,0,1,0,235.968842,0.0,235.968842,0.0,0.0,0.0,1
build_own_dc,20,2028-05,2028,5,2028-01,2028-06,2028-07,0,1,0,235.968842,0.0,235.968842,0.0,0.0,0.0,1
rent_gpu_only,20,2028-05,2028,5,2028-01,2028-06,2028-07,0,1,0,235.968842,0.0,235.968842,0.0,0.0,0.0,0.0
hybrid,20,2028-05,2028,5,2028-01,2028-06,2028-07,0,1,0,235.968842,0.0,235.968842,0.0,0.0,0.0,1
build_own_dc,21,2028-06,2028,6,2028-01,2028-06,2028-07,0,1,0,235.968842,0.0,235.968842,0.0,0.0,0.0,1
rent_gpu_only,21,2028-06,2028,6,2028-01,2028-06,2028-07,0,1,0,235.968842,0.0,235.968842,0.0,0.0,0.0,0.0
hybrid,21,2028-06,2028,6,2028-01,2028-06,2028-07,0,1,0,235.968842,0.0,235.968842,0.0,0.0,0.0,1
build_own_dc,22,2028-07,2028,7,2028-01,2028-06,2028-07,0,0,1,235.968842,235.968842,0.0,235.968842,235.968842,235.968842,0
rent_gpu_only,22,2028-07,2028,7,2028-01,2028-06,2028-07,0,0,1,235.968842,0.0,235.968842,0.0,0.0,0.0,0.0
hybrid,22,2028-07,2028,7,2028-01,2028-06,2028-07,0,0,1,235.968842,235.968842,0.0,235.968842,235.968842,235.968842,0
build_own_dc,23,2028-08,2028,8,2028-01,2028-06,2028-07,0,0,1,235.968842,235.968842,0.0,0.0,0.0,0.0,0
rent_gpu_only,23,2028-08,2028,8,2028-01,2028-06,2028-07,0,0,1,235.968842,0.0,235.968842,0.0,0.0,0.0,0.0
hybrid,23,2028-08,2028,8,2028-01,2028-06,2028-07,0,0,1,235.968842,235.968842,0.0,0.0,0.0,0.0,0
build_own_dc,24,2028-09,2028,9,2028-01,2028-06,2028-07,0,0,1,235.968842,235.968842,0.0,0.0,0.0,0.0,0
rent_gpu_only,24,2028-09,2028,9,2028-01,2028-06,2028-07,0,0,1,235.968842,0.0,235.968842,0.0,0.0,0.0,0.0
hybrid,24,2028-09,2028,9,2028-01,2028-06,2028-07,0,0,1,235.968842,235.968842,0.0,0.0,0.0,0.0,0
build_own_dc,25,2028-10,2028,10,2028-01,2028-06,2028-07,0,0,1,235.968842,235.968842,0.0,0.0,0.0,0.0,0
rent_gpu_only,25,2028-10,2028,10,2028-01,2028-06,2028-07,0,0,1,235.968842,0.0,235.968842,0.0,0.0,0.0,0.0
hybrid,25,2028-10,2028,10,2028-01,2028-06,2028-07,0,0,1,235.968842,235.968842,0.0,0.0,0.0,0.0,0
build_own_dc,26,2028-11,2028,11,2028-01,2028-06,2028-07,0,0,1,235.968842,235.968842,0.0,0.0,0.0,0.0,0
rent_gpu_only,26,2028-11,2028,11,2028-01,2028-06,2028-07,0,0,1,235.968842,0.0,235.968842,0.0,0.0,0.0,0.0
hybrid,26,2028-11,2028,11,2028-01,2028-06,2028-07,0,0,1,235.968842,235.968842,0.0,0.0,0.0,0.0,0
build_own_dc,27,2028-12,2028,12,2028-01,2028-06,2028-07,0,0,1,235.968842,235.968842,0.0,0.0,0.0,0.0,0
rent_gpu_only,27,2028-12,2028,12,2028-01,2028-06,2028-07,0,0,1,235.968842,0.0,235.968842,0.0,0.0,0.0,0.0
hybrid,27,2028-12,2028,12,2028-01,2028-06,2028-07,0,0,1,235.968842,235.968842,0.0,0.0,0.0,0.0,0
build_own_dc,28,2029-01,2029,1,2028-01,2028-06,2028-07,0,0,1,474.029941,474.029941,0.0,238.061099,238.061099,238.061099,0
rent_gpu_only,28,2029-01,2029,1,2028-01,2028-06,2028-07,0,0,1,474.029941,0.0,474.029941,0.0,0.0,0.0,0.0
hybrid,28,2029-01,2029,1,2028-01,2028-06,2028-07,0,0,1,474.029941,474.029941,0.0,238.061099,238.061099,238.061099,0
build_own_dc,29,2029-02,2029,2,2028-01,2028-06,2028-07,0,0,1,474.029941,474.029941,0.0,0.0,0.0,0.0,0
rent_gpu_only,29,2029-02,2029,2,2028-01,2028-06,2028-07,0,0,1,474.029941,0.0,474.029941,0.0,0.0,0.0,0.0
hybrid,29,2029-02,2029,2,2028-01,2028-06,2028-07,0,0,1,474.029941,474.029941,0.0,0.0,0.0,0.0,0
build_own_dc,30,2029-03,2029,3,2028-01,2028-06,2028-07,0,0,1,474.029941,474.029941,0.0,0.0,0.0,0.0,0
rent_gpu_only,30,2029-03,2029,3,2028-01,2028-06,2028-07,0,0,1,474.029941,0.0,474.029941,0.0,0.0,0.0,0.0
hybrid,30,2029-03,2029,3,2028-01,2028-06,2028-07,0,0,1,474.029941,474.029941,0.0,0.0,0.0,0.0,0
build_own_dc,31,2029-04,2029,4,2028-01,2028-06,2028-07,0,0,1,474.029941,474.029941,0.0,0.0,0.0,0.0,0
rent_gpu_only,31,2029-04,2029,4,2028-01,2028-06,2028-07,0,0,1,474.029941,0.0,474.029941,0.0,0.0,0.0,0.0
hybrid,31,2029-04,2029,4,2028-01,2028-06,2028-07,0,0,1,474.029941,474.029941,0.0,0.0,0.0,0.0,0
build_own_dc,32,2029-05,2029,5,2028-01,2028-06,2028-07,0,0,1,474.029941,474.029941,0.0,0.0,0.0,0.0,0
rent_gpu_only,32,2029-05,2029,5,2028-01,2028-06,2028-07,0,0,1,474.029941,0.0,474.029941,0.0,0.0,0.0,0.0
hybrid,32,2029-05,2029,5,2028-01,2028-06,2028-07,0,0,1,474.029941,474.029941,0.0,0.0,0.0,0.0,0
build_own_dc,33,2029-06,2029,6,2028-01,2028-06,2028-07,0,0,1,474.029941,474.029941,0.0,0.0,0.0,0.0,0
rent_gpu_only,33,2029-06,2029,6,2028-01,2028-06,2028-07,0,0,1,474.029941,0.0,474.029941,0.0,0.0,0.0,0.0
hybrid,33,2029-06,2029,6,2028-01,2028-06,2028-07,0,0,1,474.029941,474.029941,0.0,0.0,0.0,0.0,0
build_own_dc,34,2029-07,2029,7,2028-01,2028-06,2028-07,0,0,1,474.029941,474.029941,0.0,0.0,0.0,0.0,0
rent_gpu_only,34,2029-07,2029,7,2028-01,2028-06,2028-07,0,0,1,474.029941,0.0,474.029941,0.0,0.0,0.0,0.0
hybrid,34,2029-07,2029,7,2028-01,2028-06,2028-07,0,0,1,474.029941,474.029941,0.0,0.0,0.0,0.0,0
build_own_dc,35,2029-08,2029,8,2028-01,2028-06,2028-07,0,0,1,474.029941,474.029941,0.0,0.0,0.0,0.0,0
rent_gpu_only,35,2029-08,2029,8,2028-01,2028-06,2028-07,0,0,1,474.029941,0.0,474.029941,0.0,0.0,0.0,0.0
hybrid,35,2029-08,2029,8,2028-01,2028-06,2028-07,0,0,1,474.029941,474.029941,0.0,0.0,0.0,0.0,0
build_own_dc,36,2029-09,2029,9,2028-01,2028-06,2028-07,0,0,1,474.029941,474.029941,0.0,0.0,0.0,0.0,0
rent_gpu_only,36,2029-09,2029,9,2028-01,2028-06,2028-07,0,0,1,474.029941,0.0,474.029941,0.0,0.0,0.0,0.0
hybrid,36,2029-09,2029,9,2028-01,2028-06,2028-07,0,0,1,474.029941,474.029941,0.0,0.0,0.0,0.0,0
build_own_dc,37,2029-10,2029,10,2028-01,2028-06,2028-07,0,0,1,474.029941,474.029941,0.0,0.0,0.0,0.0,0
rent_gpu_only,37,2029-10,2029,10,2028-01,2028-06,2028-07,0,0,1,474.029941,0.0,474.029941,0.0,0.0,0.0,0.0
hybrid,37,2029-10,2029,10,2028-01,2028-06,2028-07,0,0,1,474.029941,474.029941,0.0,0.0,0.0,0.0,0
build_own_dc,38,2029-11,2029,11,2028-01,2028-06,2028-07,0,0,1,474.029941,474.029941,0.0,0.0,0.0,0.0,0
rent_gpu_only,38,2029-11,2029,11,2028-01,2028-06,2028-07,0,0,1,474.029941,0.0,474.029941,0.0,0.0,0.0,0.0
hybrid,38,2029-11,2029,11,2028-01,2028-06,2028-07,0,0,1,474.029941,474.029941,0.0,0.0,0.0,0.0,0
build_own_dc,39,2029-12,2029,12,2028-01,2028-06,2028-07,0,0,1,474.029941,474.029941,0.0,0.0,0.0,0.0,0
rent_gpu_only,39,2029-12,2029,12,2028-01,2028-06,2028-07,0,0,1,474.029941,0.0,474.029941,0.0,0.0,0.0,0.0
hybrid,39,2029-12,2029,12,2028-01,2028-06,2028-07,0,0,1,474.029941,474.029941,0.0,0.0,0.0,0.0,0
build_own_dc,40,2030-01,2030,1,2028-01,2028-06,2028-07,0,0,1,533.950803,533.950803,0.0,59.920862,59.920862,59.920862,0
rent_gpu_only,40,2030-01,2030,1,2028-01,2028-06,2028-07,0,0,1,533.950803,0.0,533.950803,0.0,0.0,0.0,0.0
hybrid,40,2030-01,2030,1,2028-01,2028-06,2028-07,0,0,1,533.950803,533.950803,0.0,59.920862,59.920862,59.920862,0
build_own_dc,41,2030-02,2030,2,2028-01,2028-06,2028-07,0,0,1,533.950803,533.950803,0.0,0.0,0.0,0.0,0
rent_gpu_only,41,2030-02,2030,2,2028-01,2028-06,2028-07,0,0,1,533.950803,0.0,533.950803,0.0,0.0,0.0,0.0
hybrid,41,2030-02,2030,2,2028-01,2028-06,2028-07,0,0,1,533.950803,533.950803,0.0,0.0,0.0,0.0,0
build_own_dc,42,2030-03,2030,3,2028-01,2028-06,2028-07,0,0,1,533.950803,533.950803,0.0,0.0,0.0,0.0,0
rent_gpu_only,42,2030-03,2030,3,2028-01,2028-06,2028-07,0,0,1,533.950803,0.0,533.950803,0.0,0.0,0.0,0.0
hybrid,42,2030-03,2030,3,2028-01,2028-06,2028-07,0,0,1,533.950803,533.950803,0.0,0.0,0.0,0.0,0
build_own_dc,43,2030-04,2030,4,2028-01,2028-06,2028-07,0,0,1,533.950803,533.950803,0.0,0.0,0.0,0.0,0
rent_gpu_only,43,2030-04,2030,4,2028-01,2028-06,2028-07,0,0,1,533.950803,0.0,533.950803,0.0,0.0,0.0,0.0
hybrid,43,2030-04,2030,4,2028-01,2028-06,2028-07,0,0,1,533.950803,533.950803,0.0,0.0,0.0,0.0,0
build_own_dc,44,2030-05,2030,5,2028-01,2028-06,2028-07,0,0,1,533.950803,533.950803,0.0,0.0,0.0,0.0,0
rent_gpu_only,44,2030-05,2030,5,2028-01,2028-06,2028-07,0,0,1,533.950803,0.0,533.950803,0.0,0.0,0.0,0.0
hybrid,44,2030-05,2030,5,2028-01,2028-06,2028-07,0,0,1,533.950803,533.950803,0.0,0.0,0.0,0.0,0
build_own_dc,45,2030-06,2030,6,2028-01,2028-06,2028-07,0,0,1,533.950803,533.950803,0.0,0.0,0.0,0.0,0
rent_gpu_only,45,2030-06,2030,6,2028-01,2028-06,2028-07,0,0,1,533.950803,0.0,533.950803,0.0,0.0,0.0,0.0
hybrid,45,2030-06,2030,6,2028-01,2028-06,2028-07,0,0,1,533.950803,533.950803,0.0,0.0,0.0,0.0,0
build_own_dc,46,2030-07,2030,7,2028-01,2028-06,2028-07,0,0,1,533.950803,533.950803,0.0,0.0,0.0,0.0,0
rent_gpu_only,46,2030-07,2030,7,2028-01,2028-06,2028-07,0,0,1,533.950803,0.0,533.950803,0.0,0.0,0.0,0.0
hybrid,46,2030-07,2030,7,2028-01,2028-06,2028-07,0,0,1,533.950803,533.950803,0.0,0.0,0.0,0.0,0
build_own_dc,47,2030-08,2030,8,2028-01,2028-06,2028-07,0,0,1,533.950803,533.950803,0.0,0.0,0.0,0.0,0
rent_gpu_only,47,2030-08,2030,8,2028-01,2028-06,2028-07,0,0,1,533.950803,0.0,533.950803,0.0,0.0,0.0,0.0
hybrid,47,2030-08,2030,8,2028-01,2028-06,2028-07,0,0,1,533.950803,533.950803,0.0,0.0,0.0,0.0,0
build_own_dc,48,2030-09,2030,9,2028-01,2028-06,2028-07,0,0,1,533.950803,533.950803,0.0,0.0,0.0,0.0,0
rent_gpu_only,48,2030-09,2030,9,2028-01,2028-06,2028-07,0,0,1,533.950803,0.0,533.950803,0.0,0.0,0.0,0.0
hybrid,48,2030-09,2030,9,2028-01,2028-06,2028-07,0,0,1,533.950803,533.950803,0.0,0.0,0.0,0.0,0
build_own_dc,49,2030-10,2030,10,2028-01,2028-06,2028-07,0,0,1,533.950803,533.950803,0.0,0.0,0.0,0.0,0
rent_gpu_only,49,2030-10,2030,10,2028-01,2028-06,2028-07,0,0,1,533.950803,0.0,533.950803,0.0,0.0,0.0,0.0
hybrid,49,2030-10,2030,10,2028-01,2028-06,2028-07,0,0,1,533.950803,533.950803,0.0,0.0,0.0,0.0,0
build_own_dc,50,2030-11,2030,11,2028-01,2028-06,2028-07,0,0,1,533.950803,533.950803,0.0,0.0,0.0,0.0,0
rent_gpu_only,50,2030-11,2030,11,2028-01,2028-06,2028-07,0,0,1,533.950803,0.0,533.950803,0.0,0.0,0.0,0.0
hybrid,50,2030-11,2030,11,2028-01,2028-06,2028-07,0,0,1,533.950803,533.950803,0.0,0.0,0.0,0.0,0
build_own_dc,51,2030-12,2030,12,2028-01,2028-06,2028-07,0,0,1,533.950803,533.950803,0.0,0.0,0.0,0.0,0
rent_gpu_only,51,2030-12,2030,12,2028-01,2028-06,2028-07,0,0,1,533.950803,0.0,533.950803,0.0,0.0,0.0,0.0
hybrid,51,2030-12,2030,12,2028-01,2028-06,2028-07,0,0,1,533.950803,533.950803,0.0,0.0,0.0,0.0,0
